distance_plan_m,easting_epsg25832,northing_epsg25832,raw_dgm_nhn_m,model_nhn_m,bridge_estimated
545.96787,353835.38141,5578190.32371,602.93105,602.93303,0.00000
547.96776,353833.58223,5578189.44853,602.72958,602.73033,0.00000
549.96764,353831.77902,5578188.58214,602.53092,602.52807,0.00000
551.96752,353829.97207,5578187.72396,602.32287,602.32423,0.00000
553.96740,353828.16159,5578186.87357,602.12106,602.11989,0.00000
555.96728,353826.34778,5578186.03055,601.91325,601.91639,0.00000
557.96717,353824.53083,5578185.19446,601.71655,601.71458,0.00000
559.96705,353822.71094,5578184.36487,601.51001,601.51457,0.00000
561.96693,353820.88832,5578183.54136,601.31869,601.31730,0.00000
563.96681,353819.06316,5578182.72350,601.12081,601.12080,0.00000
565.96670,353817.23567,5578181.91086,600.92427,600.92320,0.00000
567.96658,353815.40604,5578181.10302,600.72590,600.72335,0.00000
569.96646,353813.57448,5578180.29953,600.51984,600.52163,0.00000
571.96634,353811.74118,5578179.49998,600.31892,600.32127,0.00000
573.96623,353809.90635,5578178.70394,600.12508,600.12247,0.00000
575.96611,353808.07018,5578177.91097,599.92346,599.92155,0.00000
577.96599,353806.23288,5578177.12066,599.71784,599.71752,0.00000
579.96587,353804.39464,5578176.33257,599.51229,599.51195,0.00000
581.96575,353802.55567,5578175.54627,599.30570,599.30554,0.00000
583.96564,353800.71616,5578174.76133,599.10072,599.09730,0.00000
585.96552,353798.87632,5578173.97734,598.88416,598.88726,0.00000
587.96540,353797.03634,5578173.19385,598.67883,598.67740,0.00000
589.96528,353795.19631,5578172.41073,598.47080,598.46552,0.00000
591.96517,353793.35585,5578171.62881,598.24287,598.25342,0.00000
593.96505,353791.51450,5578170.84917,598.04799,598.04879,0.00000
595.96493,353789.67183,5578170.07285,597.85013,597.84975,0.00000
597.96481,353787.82736,5578169.30092,597.64998,597.65267,0.00000
599.96470,353785.98065,5578168.53442,597.45753,597.45792,0.00000
601.96458,353784.13123,5578167.77441,597.26662,597.26357,0.00000
603.96446,353782.27865,5578167.02196,597.06442,597.06941,0.00000
605.96434,353780.42245,5578166.27811,596.87575,596.87919,0.00000
607.96422,353778.56218,5578165.54393,596.70331,596.68665,0.00000
609.96411,353776.69739,5578164.82047,596.47729,596.48432,0.00000
611.96399,353774.82760,5578164.10879,596.27814,596.28249,0.00000
613.96387,353772.95238,5578163.40994,596.08890,596.08619,0.00000
615.96375,353771.07127,5578162.72498,595.88724,595.89227,0.00000
617.96364,353769.18380,5578162.05497,595.70301,595.70070,0.00000
619.96352,353767.28950,5578161.40112,595.50983,595.50876,0.00000
621.96340,353765.38746,5578160.76883,595.31501,595.31479,0.00000
623.96328,353763.47628,5578160.16803,595.12075,595.11941,0.00000
625.96317,353761.55452,5578159.60892,594.92163,594.92335,0.00000
627.96305,353759.62076,5578159.10165,594.72945,594.72744,0.00000
629.96293,353757.67357,5578158.65640,594.52853,594.53196,0.00000
631.96281,353755.71198,5578158.28096,594.34041,594.33723,0.00000
633.96269,353753.73803,5578157.96713,594.14096,594.14138,0.00000
635.96258,353751.75502,5578157.70020,593.94396,593.94553,0.00000
637.96246,353749.76624,5578157.46541,593.74887,593.75329,0.00000
639.96234,353747.77498,5578157.24802,593.56628,593.56525,0.00000
641.96222,353745.78382,5578157.03752,593.38055,593.37698,0.00000
643.96211,353743.79260,5578156.83981,593.18307,593.18743,0.00000
645.96199,353741.80048,5578156.66475,592.99851,593.00109,0.00000
647.96187,353739.80663,5578156.52223,592.82181,592.81645,0.00000
649.96175,353737.81021,5578156.42210,592.62864,592.62825,0.00000
651.96164,353735.81103,5578156.37094,592.43633,592.43794,0.00000
653.96152,353733.81034,5578156.36758,592.24894,592.24864,0.00000
655.96140,353731.80963,5578156.40972,592.05847,592.06157,0.00000
657.96128,353729.81035,5578156.49510,591.87532,591.87903,0.00000
659.96117,353727.81382,5578156.62127,591.70223,591.70078,0.00000
661.96105,353725.82035,5578156.78490,591.52236,591.52386,0.00000
663.96093,353723.82991,5578156.98237,591.34840,591.34743,0.00000
665.96081,353721.84249,5578157.21004,591.16967,591.17152,0.00000
667.96069,353719.85807,5578157.46429,590.99848,590.99578,0.00000
669.96058,353717.87678,5578157.74248,590.81669,590.82026,0.00000
671.96046,353715.89961,5578158.04756,590.64555,590.64751,0.00000
673.96034,353713.92784,5578158.38441,590.48085,590.47585,0.00000
675.96022,353711.96276,5578158.75791,590.29939,590.30208,0.00000
